Node ID,Name,Longitude,Latitude,Hop_ID,system_ID,Country
grid_48.2_-8.2,grid_48.2_-8.2,-8.2,48.2,263,2002.4,grid_48.2_-8.2
pt_38.642977_-9.096926,"Seixal, Portugal",-9.096926,38.642977,264,2002.4,Portugal
pt_51.092962_-4.227454,"Saunton Sands, Great Britain",-4.227454,51.092962,265,2002.4,United Kingdom
pt_43.3814_-2.9822,"Sopelana, Spain",-2.9822,43.3814,266,2002.4,Spain
pt_4.05_9.7,"Douala, Cameroon",9.7,4.05,267,2002.5,Cameroon
grid_2.5_8.0,grid_2.5_8.0,8,2.5,268,2002.5,grid_2.5_8.0
grid_-10.1_7.1,grid_-10.1_7.1,7.1,-10.1,269,2002.5,grid_-10.1_7.1
pt_-33.7333_18.4333,"Melkbosstrand, South Africa",18.4333,-33.7333,270,2002.5,South Africa
pt_38.46045_-9.10498,"Sesimbra, Portugal",-9.104980469,38.46045,271,2002.5,Portugal
grid_36.9_-10.0,grid_36.9_-10.0,-10,36.9,272,2002.5,grid_36.9_-10.0
grid_29.0_-16.4,grid_29.0_-16.4,-16.4,29,273,2002.5,grid_29.0_-16.4
grid_14.6_-20.5,grid_14.6_-20.5,-20.5,14.6,274,2002.5,grid_14.6_-20.5
grid_1.0_-4.4,grid_1.0_-4.4,-4.4,1,275,2002.5,grid_1.0_-4.4
grid_1.0_0.8,grid_1.0_0.8,0.8,1,276,2002.5,grid_1.0_0.8
grid_1.0_2.6,grid_1.0_2.6,2.6,1,277,2002.5,grid_1.0_2.6
pt_-8.8383_13.2344,"Luanda, Angola",13.2344,-8.8383,278,2002.5,Angola
pt_0.3901_9.4544,"Libreville, Gabon",9.4544,0.3901,279,2002.5,Gabon
pt_6.45_3.4,"Lagos, Nigeria",3.4,6.45,280,2002.5,Nigeria
pt_6.3667_2.4167,"Cotonou, nan",2.4167,6.3667,281,2002.5,Benin
pt_5.5461_-0.2067,"Accra, Ghana",-0.2067,5.5461,282,2002.5,Ghana
pt_5.316568_-4.018893,"Abidjan, Ivory Coast",-4.018893,5.316568,283,2002.5,Ivory Coast
